id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,popular,fyp,foryou,foryoupage,viral,fypシ,funny,xyzbca,comedy,duet,tiktok,fy,parati
6.94E+18,16,18,2,6.77E+18,1,846,11300000,340400000,374,19300,6.94E+18,1,37,38,2000000,8236,9700000,13400,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.93E+18,87,20,0,6.75E+18,1,166,22300000,326400000,120,197,2.43E+17,0,30,31,2200000,4783,16400000,15000,4,1,1,0,0,0,0,0,0,0,1,0,0,0
6.94E+18,24,3,3,6.88E+18,0,121,4100000,68700000,105,5491,6.94E+18,1,23,23,2800000,15400,14100000,22300,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,14,14,4,21609287,1,12,44400000,1000000000,669,2019,6.83E+18,0,60,24,1200000,3792,12000000,23300,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,49,19,1,6.80E+18,1,32,13000000,403900000,308,3955,2.28E+17,0,30,13,2700000,1616,10700000,5357,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+18,84,1,0,6.87E+18,0,112,1400000,25500000,125,6071,6.92E+18,1,8,8,4300000,286000,27300000,67600,5,1,0,0,0,0,0,0,0,1,0,0,0,0
6.94E+18,70,19,0,6.74E+18,0,2216,4900000,214600000,371,1610,6.65E+18,0,43,14,1600000,35500,15400000,6206,2,1,1,1,0,0,0,0,0,0,0,0,0,0
6.94E+18,120,2,1,6.92E+18,0,4,2400000,38600000,129,203,6.92E+18,0,60,19,414000,1837,4900000,5747,6,1,1,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,0,22,2,6.66E+18,1,31,11800000,344100000,220,2981,6.93E+18,1,21,56,2000000,17100,8200000,23100,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,0,17,5,6.77E+18,0,5141,18400,67600,111,18900,6.91E+18,1,12,13,56900,94,408200,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,145,0,1,6.78E+18,0,65,615900,11200000,356,8487,6.94E+18,1,14,14,293500,44900,3600000,1268,12,1,0,0,0,0,0,0,0,0,0,0,1,0
6.94E+18,41,13,5,6.53E+18,0,8,86500,1600000,39,10,6.81E+18,1,8,8,1500000,107000,11500000,12000,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,114,19,3,6.81E+18,0,2817,102700,1800000,47,7650,6.94E+18,1,10,10,1500000,69300,8600000,8197,8,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,55,5,3,6.81E+18,0,478,411700,4700000,49,1804,6.94E+18,1,59,59,3000000,32600,20300000,10200,2,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,26,21,6,7683952,1,2,17500000,616900000,848,2792,6.94E+18,1,10,10,6000000,687000,52500000,67500,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,85,21,4,6.70E+18,1,173,6700000,254500000,1236,3000,6.94E+18,1,9,10,2400000,65900,11300000,15000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.95E+18,106,23,2,6.63E+18,0,74,326200,8700000,425,478,6.93E+18,0,60,38,419000,5196,2000000,1654,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,85,9,6,6.93E+18,0,31,116100,934300,75,601,6.92E+18,1,15,9,506700,3141,9600000,1255,11,1,1,1,1,0,0,0,0,0,0,1,1,0
6.94E+18,116,0,2,6.86E+18,0,45,3600000,45500000,181,1282,6.92E+18,0,29,18,1500000,12200,8700000,40400,4,1,0,0,0,0,0,0,0,0,0,0,0,0
6.92E+18,65,0,6,6.77E+18,1,846,11300000,340400000,374,19300,6.90E+18,0,30,15,1100000,1749,8100000,16900,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,86,17,6,6.55E+18,1,90,20200000,507300000,840,4570,6.92E+18,1,59,43,5000000,20100,44300000,25100,0,1,0,0,0,0,0,0,0,0,0,0,0,0
